,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score
4352,ID_1922,333346,,,2273,,,,,,0.046413504,0.04933426,-0.0029207594
4353,ID_2825,333519,250.0,300.0,49592,26.0,17.0,6.0,1.0,53.5,0.024390243,0.053200476,-0.024944019
4354,ID_2790,333519,250.0,300.0,156720,86.0,60.0,23.0,28.0,67.85416666666667,0.015183509,0.04933426,-0.034150753
4355,ID_1213,333519,250.0,300.0,5117,8.0,4.0,3.0,1.0,55.71428571428572,,,
4356,ID_2730,333519,250.0,300.0,15842,5.0,3.0,2.0,8.0,50.2,0.008797654,0.04933426,-0.04053661
4357,ID_443,333519,250.0,300.0,329698,86.0,68.0,25.0,3.0,42.45,0.016806724,0.04933426,-0.03252754
4358,ID_3154,333519,,,2636,,,,,,,,
4359,ID_1890,333519,,,2121,,,,,,,,
4360,ID_1602,333346,250.0,300.0,14588,15.0,13.0,7.0,,64.10526315789474,,,
4361,ID_2153,333346,250.0,300.0,70096,10.0,8.0,3.0,1.0,56.66666666666666,0.7244001,0.053200476,0.6711996
4362,ID_1660,333346,250.0,300.0,2721,4.0,4.0,1.0,1.0,35.666666666666664,,,
4363,ID_1804,333346,,,2847,,,,,,,,
4364,ID_982,333519,,,4059,,,,,,,,
4365,ID_3316,333519,,,3547,,,,,,,,
4366,ID_606,333346,,,3589,,,,,,,,
4367,ID_282,333346,,,2830,,,,,,0.008108108,0.04933426,-0.041226152
4368,ID_3156,333346,,,3230,,,,,,,,
4369,ID_2679,333346,250.0,300.0,27956,4.0,2.0,0.0,,58.0,,,
4370,ID_572,333346,250.0,300.0,7604,3.0,3.0,2.0,,79.0,0.051951107,0.04933426,0.0026168432
4371,ID_1165,333346,250.0,300.0,12306,280.0,9.0,2.0,328.0,44.25874125874126,0.15488143,0.04933426,0.105547175
4372,ID_1662,333346,250.0,300.0,9366,1.0,1.0,0.0,,60.0,0.026490066,0.04933426,-0.022844195
4373,ID_3091,333519,250.0,300.0,115671,19.0,18.0,4.0,2.0,70.0,0.020437956,0.04933426,-0.028896306
4374,ID_246,333519,250.0,300.0,2414,4.0,4.0,3.0,,63.0,0.02079395,0.04933426,-0.028540311
4375,ID_1802,333519,250.0,300.0,6239,6.0,2.0,0.0,,21.33333333333333,,,
4376,ID_1265,333519,250.0,300.0,7381,1.0,1.0,1.0,,60.0,,,
4377,ID_3330,333519,250.0,300.0,4224,5.0,2.0,1.0,,40.66666666666666,,,
4378,ID_2334,333519,250.0,300.0,11186,4.0,3.0,0.0,,55.5,,,
4379,ID_1063,333519,250.0,300.0,3459,1.0,1.0,1.0,,60.0,0.009646302,0.04933426,-0.039687958
4380,ID_1476,333519,250.0,300.0,3711,5.0,4.0,2.0,,64.28571428571429,,,
4381,ID_2607,333519,250.0,300.0,9757,8.0,4.0,4.0,,62.25,,,
4382,ID_1964,333519,250.0,300.0,58816,13.0,11.0,5.0,,53.07692307692308,0.02853261,0.04933426,-0.020801652
4383,ID_1610,333519,250.0,300.0,10821,2.0,1.0,1.0,1.0,38.5,,,
4384,ID_341,333519,,,32782,,,,,,0.019130435,0.104358725,-0.030203827
4385,ID_1682,333346,250.0,300.0,25350,11.0,2.0,0.0,,45.6,0.3554622,0.1850438,0.3022617
4386,ID_96,333519,,,2608,,,,1.0,,,,
4387,ID_1956,333346,250.0,300.0,2456,1.0,1.0,0.0,,30.0,,,
4388,ID_2765,333346,,,3070,,,,,,,,
4389,ID_941,333519,,,2029,2.0,1.0,1.0,1.0,,,,
4390,ID_963,333519,250.0,300.0,3101,4.0,2.0,0.0,1.0,46.0,0.015835313,0.04933426,-0.03349895
4391,ID_1864,333519,250.0,300.0,2334,2.0,0.0,0.0,,28.5,,,
4392,ID_2976,333519,250.0,300.0,16565,19.0,15.0,4.0,2.0,57.241379310344826,0.0057518487,0.04933426,-0.043582413
4393,ID_1114,333519,250.0,300.0,2867,5.0,3.0,2.0,,57.5,,,
4394,ID_2855,333519,250.0,300.0,140480,23.0,12.0,3.0,,81.54166666666667,0.2661725,0.04933426,0.21683824
4395,ID_3231,333519,250.0,300.0,2128,1.0,1.0,0.0,,59.0,,,
4396,ID_2668,333519,250.0,300.0,3818,1.0,1.0,1.0,,12.0,,,
4397,ID_3058,333519,250.0,300.0,19416,3.0,2.0,0.0,,56.66666666666666,0.034920637,0.053200476,-0.014413627
4398,ID_748,333519,250.0,300.0,29834,1.0,1.0,0.0,1.0,60.0,,,
4399,ID_25,333519,250.0,300.0,5985,1.0,1.0,0.0,2.0,59.0,0.005319149,0.04933426,-0.044015113
4400,ID_2280,333519,250.0,300.0,6938,9.0,5.0,1.0,1.0,41.44444444444444,,,
4401,ID_839,333519,250.0,300.0,4622,1.0,0.0,0.0,2.0,45.0,,,
4402,ID_918,333519,250.0,300.0,2698,7.0,7.0,2.0,,63.0,,,
4403,ID_270,333519,250.0,300.0,2449,5.0,4.0,2.0,1.0,51.42857142857143,,,
4404,ID_3224,333519,250.0,300.0,15650,4.0,4.0,2.0,4.0,75.75,0.02170767,0.04933426,-0.02762659
4405,ID_2064,333519,250.0,300.0,11317,1.0,1.0,0.0,,47.0,,,
